CID,Molecule
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2
8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
11502,C1=CC=C(C=C1)C=CC2=CC=CC=C2
108042,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
520616,C1=CC=C(C=C1)C2=CC(=CS2)C3=CC=CC=C3
555844,C1CN(N=C1C2=CC=CC=C2[N+](=O)[O-])C3=CC=CC=C3
584904,COC1=CC=CC=C1C(=O)OCC2=CC=CC=C2
637760,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2
638088,C1=CC=C(C=C1)/C=C/C2=CC=CC=C2
1550890,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2
5273469,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2
5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O
5331913,CC1=CC=C(C=C1)C(=O)N/N=C/C2=CC=CC=C2
5352718,COC1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2
5705112,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2
5910817,C1=CC=C(C=C1)OC(=O)/C=C/C2=CC(=C(C=C2)O)O
5919576,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC(=C(C=C2)O)O
6441293,COC1=C(C=CC(=C1)/C=C/COC(=O)C2=CC=CC=C2)O
6441913,COC1=C(C=CC(=C1)/C=C/COC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
7766335,COC1=C(C=CC(=C1)/C=C/C(=O)OCC2=CC=CC=C2)O
10083644,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=C(C=C2)O
11380911,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC(=C(C=C2)O)O
56627505,C1=CC=C(C=C1)COC(=O)C=CC2=CC=C(C=C2)O
92017879,C1=CC=C(C=C1)C=CCOC(=O)/C=C/C2=CC=C(C=C2)O
129738065,C1=CC=C(C=C1)C=CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O
145707178,C1CC(=CC=C1)C=CC(=O)OC2=CC=C(C=C2)/C=C/C(=O)O
146015185,CC(=O)C(O)C(O)C(O)(C(=O)/C=C/C1=CC=C(C=C1)O)C(=O)/C=C/C2=CC=C(C=C2)O
