CID	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
662	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	W0	21	288	M1	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	21	288
122850	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	W0	21	288	M1	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	21	288
118855455	C1=CC(=CC=C1C2[C@@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	W0	21	288	M1	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O	21	288
932	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	W1	20	272	M2	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	20	272
439246	C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	W1	20	272	M2	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	20	272
667495	C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	W1	20	272	M2	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	20	272
1890	C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=CC=C3	O=C1CC(c2ccccc2)Oc2cc(O)ccc21	W2	18	240	M3	O=C1CC(c2ccccc2)Oc2cc(O)ccc21	18	240
3764	COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O	COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1	W3	20	268	M4	COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1	20	268
4680	COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	W4	25	339	M5	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	25	339
9064	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	W5	21	290	M6	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	21	290
72276	C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	W5	21	290	M6	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	21	290
10621	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O	COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O	W6	43	611	M7	COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O	32	448
10621	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O	COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O	W6	43	611	M8	COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc3O2)cc1O	43	611
17648	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)OC	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2	W7	29	416	M9	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(N)CC2	26	373
17648	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)OC	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2	W7	29	416	M10	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2	29	416
68071	C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	W8	19	256	M11	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	19	256
238782	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	W8	19	256	M11	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	19	256
667544	C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	W8	19	256	M11	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	19	256
148556	CC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W20	23	314	M11	O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21	19	256
