ASID	MID	Mnmols	ASnmols
AS1	M100	1	1
AS1	M101	1	1
AS2	M28	1	1
AS2	M29	1	1
AS3	M96	1	11
AS3	M97	3	11
AS3	M98	1	11
AS3	M58	4	11
AS3	M127	1	11
AS3	M6	3	11
AS3	M59	1	11
AS3	M149	3	11
AS3	M150	1	11
AS3	M49	3	11
AS3	M60	1	11
AS3	M153	1	11
AS3	M116	1	11
AS3	M50	1	11
AS4	M132	7	7
AS4	M133	1	7
AS4	M134	1	7
AS4	M170	1	7
AS4	M168	1	7
AS4	M135	1	7
AS4	M152	1	7
AS4	M163	1	7
AS4	M164	1	7
AS5	M106	5	6
AS5	M144	1	6
AS5	M169	1	6
AS5	M154	1	6
AS5	M147	1	6
AS5	M107	4	6
AS5	M108	1	6
AS6	M8	4	4
AS6	M9	1	4
AS6	M10	1	4
AS6	M102	1	4
AS6	M167	1	4
AS6	M131	1	4
AS7	M141	1	1
AS7	M142	1	1
AS7	M143	1	1
AS8	M140	1	2
AS8	M138	2	2
AS8	M160	1	2
AS8	M139	1	2
AS9	M130	1	2
AS9	M129	2	2
AS9	M136	1	2
AS9	M137	1	2
AS10	M162	1	1
AS10	M161	1	1
AS11	M155	1	1
AS11	M156	1	1
AS11	M157	1	1
AS12	M120	1	1
AS12	M121	1	1
AS12	M122	1	1
AS13	M124	1	1
AS13	M126	1	1
AS13	M125	1	1
AS14	M118	1	1
AS14	M117	1	1
AS14	M119	1	1
AS15	M165	1	1
AS15	M166	1	1
AS16	M158	1	1
AS16	M159	1	1
AS17	M1	4	4
AS17	M45	1	4
AS17	M2	1	4
AS17	M80	1	4
AS18	M18	3	3
AS18	M44	1	3
AS18	M19	1	3
AS19	M113	1	1
AS19	M114	1	1
AS20	M41	1	1
AS20	M40	1	1
AS21	M71	1	1
AS21	M72	1	1
AS22	M82	1	6
AS22	M4	6	6
AS22	M34	1	6
AS22	M78	1	6
AS22	M69	1	6
AS22	M5	1	6
AS23	M53	1	1
AS23	M54	1	1
AS24	M77	1	4
AS24	M14	1	4
AS24	M13	4	4
AS24	M25	1	4
AS25	M89	1	1
AS25	M88	1	1
AS26	M83	1	4
AS26	M27	3	4
AS26	M42	2	4
AS26	M47	1	4
AS27	M68	1	1
AS28	M109	1	1
AS29	M99	1	1
AS30	M76	1	1
AS31	M23	1	1
AS32	M112	1	1
AS33	M33	1	1
AS34	M62	1	1
AS35	M12	1	1
AS36	M92	1	1
AS37	M91	1	1
AS38	M73	1	1
AS39	M43	1	1
AS40	M128	1	1
AS41	M48	1	1
AS42	M39	1	1
AS43	M46	1	1
AS44	M87	1	1
AS45	M11	1	1
AS46	M37	1	1
AS47	M38	1	1
AS48	M110	1	1
AS49	M111	1	1
AS50	M75	1	1
AS51	M105	1	1
AS52	M145	1	1
AS53	M146	1	1
AS54	M123	1	1
AS55	M79	1	1
AS56	M104	1	1
AS57	M151	1	1
AS58	M74	1	1
AS59	M115	1	1
AS60	M30	1	1
AS61	M21	1	1
AS62	M85	1	1
AS63	M55	1	1
AS64	M70	1	1
AS65	M63	1	1
AS66	M86	1	1
AS67	M94	1	1
AS68	M15	1	1
AS69	M31	1	1
AS70	M24	1	1
AS71	M90	1	1
AS72	M51	1	1
AS73	M95	1	1
AS74	M67	1	1
AS75	M52	1	1
AS76	M36	1	1
AS77	M66	1	1
AS78	M61	1	1
AS79	M93	1	1
AS80	M103	1	1
AS81	M22	1	1
AS82	M57	1	1
AS83	M3	1	1
AS84	M35	1	1
AS85	M56	1	1
AS86	M148	1	1
AS87	M84	1	1
AS88	M26	1	1
AS89	M17	1	1
AS90	M7	1	1
AS91	M81	1	1
AS92	M65	1	1
AS93	M16	1	1
AS94	M32	1	1
AS95	M64	1	1
AS96	M20	1	1
