ASID	WID
AS1	W88
AS2	W23
AS3	W86
AS3	W106
AS3	W121
AS3	W125
AS3	W44
AS3	W52
AS3	W4
AS3	W51
AS3	W123
AS3	W100
AS3	W101
AS4	W110
AS4	W137
AS4	W135
AS4	W111
AS4	W124
AS4	W131
AS4	W132
AS5	W115
AS5	W136
AS5	W126
AS5	W118
AS5	W93
AS5	W119
AS6	W6
AS6	W89
AS6	W134
AS6	W109
AS7	W114
AS8	W113
AS8	W129
AS9	W108
AS9	W112
AS10	W130
AS11	W127
AS12	W103
AS13	W105
AS14	W102
AS15	W133
AS16	W128
AS17	W39
AS17	W43
AS17	W0
AS17	W71
AS18	W14
AS18	W38
AS18	W13
AS19	W98
AS20	W35
AS21	W63
AS22	W73
AS22	W29
AS22	W69
AS22	W61
AS22	W3
AS22	W2
AS23	W47
AS24	W68
AS24	W9
AS24	W20
AS24	W25
AS25	W79
AS26	W74
AS26	W41
AS26	W22
AS26	W36
AS27	W60
AS28	W94
AS29	W87
AS30	W67
AS31	W18
AS32	W97
AS33	W28
AS34	W54
AS35	W8
AS36	W82
AS37	W81
AS38	W64
AS39	W37
AS40	W107
AS41	W42
AS42	W34
AS43	W40
AS44	W78
AS45	W7
AS46	W32
AS47	W33
AS48	W95
AS49	W96
AS50	W66
AS51	W92
AS52	W116
AS53	W117
AS54	W104
AS55	W70
AS56	W91
AS57	W122
AS58	W65
AS59	W99
AS60	W24
AS61	W16
AS62	W76
AS63	W48
AS64	W62
AS65	W55
AS66	W77
AS67	W84
AS68	W10
AS69	W26
AS70	W19
AS71	W80
AS72	W45
AS73	W85
AS74	W59
AS75	W46
AS76	W31
AS77	W58
AS78	W53
AS79	W83
AS80	W90
AS81	W17
AS82	W50
AS83	W1
AS84	W30
AS85	W49
AS86	W120
AS87	W75
AS88	W21
AS89	W12
AS90	W5
AS91	W72
AS92	W57
AS93	W11
AS94	W27
AS95	W56
AS96	W15
