,CID,Molecule,washed,WID,mol_nHeavyAtoms,mol_MW,MID,core,core_nHeavyAtoms,core_MW
0,107,C1=CC=C(C=C1)CCC(=O)O,O=C(O)CCc1ccccc1,W0,11,150,M1,O=CCCc1ccccc1,10,134
1,7643,COC(=O)CCC1=CC=CC=C1,COC(=O)CCc1ccccc1,W39,12,164,M1,O=CCCc1ccccc1,10,134
2,7707,C1=CC=C(C=C1)CCC=O,O=CCCc1ccccc1,W43,10,134,M1,O=CCCc1ccccc1,10,134
3,16237,CCOC(=O)CCC1=CC=CC=C1,CCOC(=O)CCc1ccccc1,W71,13,178,M1,O=CCCc1ccccc1,10,134
4,107,C1=CC=C(C=C1)CCC(=O)O,O=C(O)CCc1ccccc1,W0,11,150,M2,O=C(O)CCc1ccccc1,11,150
5,126,C1=CC(=CC=C1C=O)O,O=Cc1ccc(O)cc1,W1,9,122,M3,O=Cc1ccc(O)cc1,9,122
6,240,C1=CC=C(C=C1)C=O,O=Cc1ccccc1,W2,8,106,M4,O=Cc1ccccc1,8,106
7,243,C1=CC=C(C=C1)C(=O)O,O=C(O)c1ccccc1,W3,9,122,M4,O=Cc1ccccc1,8,106
8,7150,COC(=O)C1=CC=CC=C1,COC(=O)c1ccccc1,W29,10,136,M4,O=Cc1ccccc1,8,106
9,11406,C=CCOC(=O)C1=CC=CC=C1,C=CCOC(=O)c1ccccc1,W61,12,162,M4,O=Cc1ccccc1,8,106
10,13654,CC(C)OC(=O)C1=CC=CC=C1,CC(C)OC(=O)c1ccccc1,W69,12,164,M4,O=Cc1ccccc1,8,106
11,16846,CCCOC(=O)C1=CC=CC=C1,CCCOC(=O)c1ccccc1,W73,12,164,M4,O=Cc1ccccc1,8,106
12,243,C1=CC=C(C=C1)C(=O)O,O=C(O)c1ccccc1,W3,9,122,M5,O=C(O)c1ccccc1,9,122
13,244,C1=CC=C(C=C1)CO,OCc1ccccc1,W4,8,108,M6,OCc1ccccc1,8,108
14,7708,C1=CC=C(C=C1)COC=O,O=COCc1ccccc1,W44,10,136,M6,OCc1ccccc1,8,108
15,8785,CC(=O)OCC1=CC=CC=C1,CC(=O)OCc1ccccc1,W52,11,150,M6,OCc1ccccc1,8,108
16,289,C1=CC=C(C(=C1)O)O,Oc1ccccc1O,W5,8,110,M7,Oc1ccccc1O,8,110
17,322,C1=CC(=CC=C1C=CC(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M8,O=CC=Cc1ccc(O)cc1,11,148
18,637542,C1=CC(=CC=C1/C=C/C(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M8,O=CC=Cc1ccc(O)cc1,11,148
19,1549106,C1=CC(=CC=C1/C=C\C(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M8,O=CC=Cc1ccc(O)cc1,11,148
20,54708745,C1=CC(=CC=C1/C=C/C(=O)O)[O-],O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M8,O=CC=Cc1ccc(O)cc1,11,148
21,92203,COC(=O)C=CC1=CC=C(C=C1)O,COC(=O)C=Cc1ccc(O)cc1,W89,13,178,M8,O=CC=Cc1ccc(O)cc1,11,148
22,5319562,COC(=O)/C=C/C1=CC=C(C=C1)O,COC(=O)C=Cc1ccc(O)cc1,W89,13,178,M8,O=CC=Cc1ccc(O)cc1,11,148
23,676946,CCOC(=O)/C=C/C1=CC=C(C=C1)O,CCOC(=O)C=Cc1ccc(O)cc1,W109,14,192,M8,O=CC=Cc1ccc(O)cc1,11,148
24,13430153,CCCCOC(=O)/C=C/C1=CC=C(C=C1)O,CCCCOC(=O)C=Cc1ccc(O)cc1,W134,16,220,M8,O=CC=Cc1ccc(O)cc1,11,148
29,322,C1=CC(=CC=C1C=CC(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M10,O=C(O)C=Cc1ccc(O)cc1,12,164
30,637542,C1=CC(=CC=C1/C=C/C(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M10,O=C(O)C=Cc1ccc(O)cc1,12,164
31,1549106,C1=CC(=CC=C1/C=C\C(=O)O)O,O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M10,O=C(O)C=Cc1ccc(O)cc1,12,164
32,54708745,C1=CC(=CC=C1/C=C/C(=O)O)[O-],O=C(O)C=Cc1ccc(O)cc1,W6,12,164,M10,O=C(O)C=Cc1ccc(O)cc1,12,164
33,326,CC(C)C1=CC=C(C=C1)C=O,CC(C)c1ccc(C=O)cc1,W7,11,148,M11,CC(C)c1ccc(C=O)cc1,11,148
34,332,COC1=C(C=CC(=C1)C=C)O,C=Cc1ccc(O)c(OC)c1,W8,11,150,M12,C=Cc1ccc(O)c(OC)c1,11,150
35,338,C1=CC=C(C(=C1)C(=O)O)O,O=C(O)c1ccccc1O,W9,10,138,M13,O=Cc1ccccc1O,9,122
36,4133,COC(=O)C1=CC=CC=C1O,COC(=O)c1ccccc1O,W20,11,152,M13,O=Cc1ccccc1O,9,122
37,6998,C1=CC=C(C(=C1)C=O)O,O=Cc1ccccc1O,W25,9,122,M13,O=Cc1ccccc1O,9,122
38,13637,C1=CC=C(C(=C1)C(=O)NN)O,NNC(=O)c1ccccc1O,W68,11,152,M13,O=Cc1ccccc1O,9,122
39,338,C1=CC=C(C(=C1)C(=O)O)O,O=C(O)c1ccccc1O,W9,10,138,M14,O=C(O)c1ccccc1O,10,138
40,460,COC1=CC=CC=C1O,COc1ccccc1O,W10,9,124,M15,COc1ccccc1O,9,124
41,931,C1=CC=C2C=CC=CC2=C1,c1ccc2ccccc2c1,W11,10,128,M16,c1ccc2ccccc2c1,10,128
42,996,C1=CC=C(C=C1)O,Oc1ccccc1,W12,7,94,M17,Oc1ccccc1,7,94
43,998,C1=CC=C(C=C1)CC=O,O=CCc1ccccc1,W13,9,120,M18,O=CCc1ccccc1,9,120
44,999,C1=CC=C(C=C1)CC(=O)O,O=C(O)Cc1ccccc1,W14,10,136,M18,O=CCc1ccccc1,9,120
