,core,series_size,xtsne,ytsne,MID,ASID,newASID
0,O=CC=Cc1ccc(O)c(O)c1,7,4.041943,581.3962,M132,AS4,1
1,O=Cc1ccccc1,6,115.9313,14.180868,M4,AS22,2
2,COc1cc(C=CC=O)ccc1O,5,-345.23157,462.60553,M106,AS5,3
3,COc1cc(C)ccc1O,4,-478.17523,274.16257,M107,AS5,3
4,O=CCCc1ccccc1,4,469.9528,-145.62927,M1,AS17,4
5,O=CC=Cc1ccc(O)cc1,4,73.4836,401.1277,M8,AS6,5
6,O=CC=Cc1ccccc1,4,32.77995,204.18228,M58,AS3,6
7,CC=Cc1ccccc1,3,-71.35304,1.9812934,M97,AS3,6
8,OCc1ccccc1,3,257.22778,-251.69513,M6,AS3,6
9,Cc1ccccc1,3,47.830753,-203.48682,M49,AS3,6
10,OCC=Cc1ccccc1,3,-235.01094,-87.02601,M149,AS3,6
11,O=Cc1ccccc1O,4,-147.05121,-349.5919,M13,AS24,7
12,O=CCc1ccccc1,3,327.87122,-44.911736,M18,AS18,8
13,OCCc1ccccc1,3,381.6668,-375.75354,M27,AS26,9
14,CCc1ccccc1,2,142.81389,-395.00473,M42,AS26,9
15,COc1ccc(C=CC=O)cc1,2,-135.73862,380.74994,M129,AS9,10
16,COc1ccc(C=CC=O)cc1OC,2,-230.28241,592.05884,M138,AS8,11
