,core,series_size,xtsne,ytsne,MID,ASID,newASID
0,O=CC=Cc1ccc(O)c(O)c1,7,-375.05438,-289.47437,M132,AS4,1
1,CCOC(=O)C=Cc1ccc(O)c(O)c1,2,52.974907,-931.51825,M152,AS4,1
2,O=Cc1ccccc1,6,145.68791,-73.67785,M4,AS23,2
3,COc1cc(C=CC=O)ccc1O,5,-605.9663,-360.50214,M106,AS5,3
4,COc1cc(C)ccc1O,4,808.19556,329.295,M107,AS5,3
5,O=CCCc1ccccc1,4,-107.07089,383.33063,M1,AS18,4
6,O=Cc1ccccc1O,4,272.68137,-304.68994,M13,AS25,5
7,O=CC=Cc1ccccc1,4,-53.10628,-222.45886,M58,AS3,6
8,Cc1ccccc1,3,468.31738,268.67142,M49,AS3,6
9,CC=Cc1ccccc1,3,373.94736,15.582492,M97,AS3,6
10,OCC=Cc1ccccc1,3,589.76685,-102.22943,M149,AS3,6
11,OCc1ccccc1,3,328.41556,542.77856,M6,AS3,6
12,O=CC=Cc1ccc(O)cc1,4,-180.21805,-433.23145,M8,AS6,7
13,CCOC(=O)C=Cc1ccc(O)cc1,2,200.83058,-819.1948,M131,AS6,7
14,O=CCc1ccccc1,3,-1.7547492,195.19096,M18,AS19,8
15,OCCc1ccccc1,3,105.21257,580.98596,M27,AS29,9
16,CCc1ccccc1,2,231.89948,326.22617,M42,AS29,9
17,COc1ccc(C=CC=O)cc1OC,2,-611.39154,-576.43427,M138,AS9,10
18,COc1ccc(C=CC=O)cc1,2,-356.38663,-624.9973,M129,AS10,11
