ASID	MID	Mnmols	ASnmols
AS1	M101	1	1
AS1	M100	1	1
AS2	M28	1	1
AS2	M29	1	1
AS3	M127	1	11
AS3	M59	1	11
AS3	M58	4	11
AS3	M60	1	11
AS3	M150	1	11
AS3	M96	1	11
AS3	M153	1	11
AS3	M98	1	11
AS3	M50	1	11
AS3	M6	3	11
AS3	M116	1	11
AS3	M49	3	11
AS3	M97	3	11
AS3	M149	3	11
AS4	M132	7	8
AS4	M170	1	8
AS4	M134	1	8
AS4	M133	1	8
AS4	M135	1	8
AS4	M193	1	8
AS4	M168	1	8
AS4	M164	1	8
AS4	M152	2	8
AS4	M163	1	8
AS5	M106	5	6
AS5	M107	4	6
AS5	M108	1	6
AS5	M147	1	6
AS5	M144	1	6
AS5	M154	1	6
AS5	M169	1	6
AS6	M8	4	5
AS6	M167	1	5
AS6	M102	1	5
AS6	M194	1	5
AS6	M9	1	5
AS6	M10	1	5
AS6	M131	2	5
AS7	M196	1	1
AS7	M195	1	1
AS7	M197	1	1
AS7	M198	1	1
AS8	M141	1	1
AS8	M142	1	1
AS8	M143	1	1
AS9	M139	1	2
AS9	M138	2	2
AS9	M140	1	2
AS9	M160	1	2
AS10	M136	1	2
AS10	M130	1	2
AS10	M129	2	2
AS10	M137	1	2
AS11	M162	1	1
AS11	M161	1	1
AS12	M155	1	1
AS12	M157	1	1
AS12	M156	1	1
AS13	M121	1	1
AS13	M122	1	1
AS13	M120	1	1
AS14	M125	1	1
AS14	M124	1	1
AS14	M126	1	1
AS15	M118	1	1
AS15	M117	1	1
AS15	M119	1	1
AS16	M165	1	1
AS16	M166	1	1
AS17	M158	1	1
AS17	M159	1	1
AS18	M2	1	4
AS18	M80	1	4
AS18	M1	4	4
AS18	M45	1	4
AS19	M19	1	3
AS19	M18	3	3
AS19	M44	1	3
AS20	M113	1	1
AS20	M114	1	1
AS21	M41	1	1
AS21	M40	1	1
AS22	M71	1	1
AS22	M72	1	1
AS23	M5	1	6
AS23	M82	1	6
AS23	M4	6	6
AS23	M78	1	6
AS23	M69	1	6
AS23	M34	1	6
AS24	M53	1	1
AS24	M54	1	1
AS25	M13	4	4
AS25	M77	1	4
AS25	M25	1	4
AS25	M14	1	4
AS26	M89	1	1
AS26	M88	1	1
AS27	M200	1	1
AS27	M199	1	1
AS28	M184	1	1
AS28	M185	1	1
AS29	M42	2	4
AS29	M27	3	4
AS29	M47	1	4
AS29	M83	1	4
AS30	M177	1	1
AS30	M178	1	1
AS31	M68	1	1
AS32	M174	1	1
AS33	M109	1	1
AS34	M99	1	1
AS35	M76	1	1
AS36	M23	1	1
AS37	M112	1	1
AS38	M33	1	1
AS39	M62	1	1
AS40	M12	1	1
AS41	M92	1	1
AS42	M91	1	1
AS43	M73	1	1
AS44	M43	1	1
AS45	M128	1	1
AS46	M48	1	1
AS47	M39	1	1
AS48	M46	1	1
AS49	M87	1	1
AS50	M11	1	1
AS51	M37	1	1
AS52	M38	1	1
AS53	M110	1	1
AS54	M111	1	1
AS55	M75	1	1
AS56	M105	1	1
AS57	M145	1	1
AS58	M146	1	1
AS59	M123	1	1
AS60	M79	1	1
AS61	M104	1	1
AS62	M151	1	1
AS63	M74	1	1
AS64	M115	1	1
AS65	M30	1	1
AS66	M191	1	1
AS67	M190	1	1
AS68	M189	1	1
AS69	M21	1	1
AS70	M85	1	1
AS71	M55	1	1
AS72	M70	1	1
AS73	M63	1	1
AS74	M86	1	1
AS75	M179	1	1
AS76	M94	1	1
AS77	M15	1	1
AS78	M31	1	1
AS79	M24	1	1
AS80	M183	1	1
AS81	M90	1	1
AS82	M51	1	1
AS83	M95	1	1
AS84	M67	1	1
AS85	M52	1	1
AS86	M36	1	1
AS87	M66	1	1
AS88	M61	1	1
AS89	M175	1	1
AS90	M188	1	1
AS91	M187	1	1
AS92	M192	1	1
AS93	M181	1	1
AS94	M182	1	1
AS95	M180	1	1
AS96	M93	1	1
AS97	M186	1	1
AS98	M172	1	1
AS99	M171	1	1
AS100	M173	1	1
AS101	M103	1	1
AS102	M22	1	1
AS103	M57	1	1
AS104	M3	1	1
AS105	M35	1	1
AS106	M56	1	1
AS107	M148	1	1
AS108	M84	1	1
AS109	M26	1	1
AS110	M17	1	1
AS111	M7	1	1
AS112	M81	1	1
AS113	M176	1	1
AS114	M65	1	1
AS115	M16	1	1
AS116	M32	1	1
AS117	M64	1	1
AS118	M20	1	1
