ASID	WID
AS1	W88
AS2	W23
AS3	W106
AS3	W51
AS3	W52
AS3	W121
AS3	W86
AS3	W125
AS3	W44
AS3	W101
AS3	W4
AS3	W100
AS3	W123
AS4	W137
AS4	W110
AS4	W111
AS4	W158
AS4	W135
AS4	W132
AS4	W124
AS4	W131
AS5	W93
AS5	W118
AS5	W119
AS5	W126
AS5	W115
AS5	W136
AS6	W6
AS6	W89
AS6	W109
AS6	W134
AS6	W159
AS7	W160
AS8	W114
AS9	W113
AS9	W129
AS10	W112
AS10	W108
AS11	W130
AS12	W127
AS13	W103
AS14	W105
AS15	W102
AS16	W133
AS17	W128
AS18	W0
AS18	W71
AS18	W43
AS18	W39
AS19	W14
AS19	W13
AS19	W38
AS20	W98
AS21	W35
AS22	W63
AS23	W3
AS23	W73
AS23	W69
AS23	W61
AS23	W2
AS23	W29
AS24	W47
AS25	W68
AS25	W20
AS25	W9
AS25	W25
AS26	W79
AS27	W161
AS28	W150
AS29	W41
AS29	W22
AS29	W36
AS29	W74
AS30	W144
AS31	W60
AS32	W141
AS33	W94
AS34	W87
AS35	W67
AS36	W18
AS37	W97
AS38	W28
AS39	W54
AS40	W8
AS41	W82
AS42	W81
AS43	W64
AS44	W37
AS45	W107
AS46	W42
AS47	W34
AS48	W40
AS49	W78
AS50	W7
AS51	W32
AS52	W33
AS53	W95
AS54	W96
AS55	W66
AS56	W92
AS57	W116
AS58	W117
AS59	W104
AS60	W70
AS61	W91
AS62	W122
AS63	W65
AS64	W99
AS65	W24
AS66	W156
AS67	W155
AS68	W154
AS69	W16
AS70	W76
AS71	W48
AS72	W62
AS73	W55
AS74	W77
AS75	W145
AS76	W84
AS77	W10
AS78	W26
AS79	W19
AS80	W149
AS81	W80
AS82	W45
AS83	W85
AS84	W59
AS85	W46
AS86	W31
AS87	W58
AS88	W53
AS89	W142
AS90	W153
AS91	W152
AS92	W157
AS93	W147
AS94	W148
AS95	W146
AS96	W83
AS97	W151
AS98	W139
AS99	W138
AS100	W140
AS101	W90
AS102	W17
AS103	W50
AS104	W1
AS105	W30
AS106	W49
AS107	W120
AS108	W75
AS109	W21
AS110	W12
AS111	W5
AS112	W72
AS113	W143
AS114	W57
AS115	W11
AS116	W27
AS117	W56
AS118	W15
