ASID	MID	Mnmols	ASnmols
AS1	M1752	1	1
AS1	M1751	1	1
AS2	M1847	1	2
AS2	M1848	1	2
AS2	M1849	1	2
AS2	M1850	1	2
AS2	M1851	1	2
AS2	M1852	1	2
AS2	M1853	1	2
AS2	M1807	2	2
AS2	M1854	1	2
AS2	M1806	1	2
AS2	M1805	1	2
AS3	M1741	1	2
AS3	M934	2	2
AS3	M1742	1	2
AS3	M933	1	2
AS3	M935	1	2
AS4	M958	1	5
AS4	M942	5	5
AS4	M959	1	5
AS4	M948	1	5
AS4	M941	1	5
AS4	M944	2	5
AS4	M940	1	5
AS4	M943	1	5
AS4	M945	1	5
AS4	M949	1	5
AS4	M1740	1	5
AS5	M227	1	1
AS5	M228	1	1
AS6	M897	2	2
AS6	M898	1	2
AS7	M793	1	1
AS7	M796	1	1
AS7	M795	1	1
AS7	M794	1	1
AS8	M950	1	1
AS8	M951	1	1
AS8	M952	1	1
AS9	M1019	1	1
AS9	M1020	1	1
AS10	M954	1	1
AS10	M953	1	1
AS11	M653	1	1
AS11	M654	1	1
AS12	M583	1	1
AS12	M584	1	1
AS13	M1040	1	1
AS13	M1041	1	1
AS14	M1038	1	1
AS14	M1039	1	1
AS15	M1549	1	1
AS15	M1548	1	1
AS15	M1550	1	1
AS15	M1551	1	1
AS16	M1704	1	1
AS16	M1703	1	1
AS16	M1702	1	1
AS17	M1296	1	1
AS17	M1292	1	1
AS17	M1293	1	1
AS17	M1298	1	1
AS17	M1291	1	1
AS17	M1294	1	1
AS17	M1295	1	1
AS17	M1297	1	1
AS18	M1595	1	1
AS18	M1596	1	1
AS19	M1026	1	1
AS19	M1027	1	1
AS20	M924	1	1
AS20	M925	1	1
AS21	M1745	1	1
AS21	M1746	1	1
AS22	M1871	1	1
AS22	M1869	1	1
AS22	M1870	1	1
AS22	M1872	1	1
AS23	M1014	1	1
AS23	M1015	1	1
AS24	M1810	1	1
AS24	M1809	1	1
AS24	M1808	1	1
AS24	M1811	1	1
AS25	M1792	1	1
AS25	M1793	1	1
AS26	M1815	1	1
AS26	M1816	1	1
AS27	M1813	1	1
AS27	M1814	1	1
AS28	M225	1	1
AS28	M226	1	1
AS29	M12	1	1
AS29	M13	1	1
AS30	M1009	1	1
AS30	M1010	1	1
AS31	M1011	1	1
AS31	M1012	1	1
AS32	M1867	1	1
AS32	M1868	1	1
