ASID	WID
AS1	W1139
AS2	W1192
AS2	W1176
AS3	W1131
AS3	W686
AS4	W698
AS4	W692
AS4	W689
AS4	W690
AS4	W1130
AS5	W159
AS6	W667
AS6	W668
AS7	W583
AS8	W693
AS9	W744
AS10	W694
AS11	W463
AS12	W418
AS13	W760
AS14	W759
AS15	W1003
AS16	W1104
AS17	W840
AS18	W1031
AS19	W750
AS20	W681
AS21	W1134
AS22	W1205
AS23	W741
AS24	W1177
AS25	W1171
AS26	W1180
AS27	W1179
AS28	W158
AS29	W4
AS30	W738
AS31	W739
AS32	W1204
AS33	W1186
AS34	W924
AS35	W1005
AS36	W960
AS37	W1043
AS38	W1189
AS39	W1185
AS40	W1199
AS41	W1182
AS42	W1184
AS43	W671
AS44	W1183
AS45	W1006
AS46	W1014
AS47	W1034
AS48	W163
AS49	W1106
AS50	W806
AS51	W1100
AS51	W1101
AS51	W1102
AS51	W1097
AS52	W1163
AS53	W1146
AS53	W1147
AS54	W685
AS55	W732
AS56	W727
AS57	W1168
AS58	W729
AS59	W904
AS59	W903
AS59	W905
AS59	W901
AS59	W1059
AS59	W900
AS59	W1055
AS60	W1056
AS61	W1058
AS62	W635
AS63	W869
AS64	W1157
AS65	W1152
AS66	W1166
AS67	W1167
AS68	W1143
AS69	W1091
AS70	W328
AS71	W1054
AS72	W894
AS73	W1207
AS74	W1076
AS74	W1078
AS75	W847
AS75	W838
AS76	W577
AS77	W1191
AS78	W323
AS78	W324
AS78	W321
AS79	W971
AS79	W769
AS79	W958
AS79	W968
AS79	W927
AS79	W967
AS79	W160
AS79	W177
AS79	W959
AS79	W763
AS79	W933
AS80	W332
AS80	W327
AS81	W300
AS81	W312
AS81	W311
AS81	W203
AS82	W808
AS82	W818
AS83	W817
AS84	W59
AS85	W54
AS86	W807
AS87	W816
AS88	W854
AS88	W180
AS88	W190
AS88	W665
AS88	W193
AS88	W162
AS88	W423
AS88	W709
AS88	W795
AS88	W861
AS88	W1036
AS88	W956
AS89	W422
AS89	W853
AS89	W114
AS89	W110
AS89	W116
AS89	W794
AS89	W179
AS89	W113
AS90	W1004
AS90	W189
AS90	W555
AS90	W157
AS90	W178
AS90	W793
AS90	W955
AS91	W889
AS92	W814
AS93	W139
AS94	W137
AS94	W138
AS95	W43
AS95	W42
AS96	W77
AS97	W1035
AS98	W117
AS99	W161
AS100	W655
AS101	W1016
AS102	W21
AS103	W981
AS104	W467
AS105	W1190
AS106	W152
AS107	W751
AS108	W722
AS108	W719
AS109	W345
AS110	W304
AS110	W303
AS111	W436
AS112	W173
AS112	W1105
AS113	W718
AS114	W573
AS115	W1071
AS116	W673
AS117	W972
AS118	W420
AS119	W410
AS119	W672
AS120	W400
AS120	W387
AS121	W1174
AS122	W409
AS123	W338
AS123	W339
AS124	W384
AS124	W378
AS125	W414
AS126	W353
AS127	W372
AS127	W374
AS127	W360
AS127	W373
AS128	W408
AS129	W355
AS130	W404
AS130	W358
AS130	W359
AS130	W351
AS131	W1173
AS132	W405
AS133	W407
AS133	W388
AS133	W450
AS134	W424
AS135	W394
AS135	W395
AS135	W393
AS136	W368
AS136	W352
AS136	W367
AS137	W346
AS137	W347
AS137	W348
AS137	W342
AS137	W429
AS138	W392
AS139	W361
AS140	W340
AS140	W337
AS141	W676
AS141	W406
AS141	W413
AS142	W396
AS142	W391
AS143	W366
AS144	W333
AS144	W334
AS144	W335
AS144	W329
AS145	W325
AS145	W326
AS145	W662
AS145	W1088
AS146	W460
AS147	W365
AS148	W319
AS148	W318
AS148	W317
AS149	W713
AS150	W455
AS151	W313
AS151	W314
AS152	W712
AS153	W459
AS154	W684
AS155	W364
AS156	W309
AS156	W306
AS156	W307
AS156	W308
AS157	W1172
AS158	W295
AS158	W294
AS159	W283
AS159	W286
AS159	W287
AS159	W288
AS159	W289
AS159	W290
AS160	W277
AS160	W278
AS161	W274
AS161	W273
AS162	W270
AS162	W269
AS163	W267
AS164	W265
AS164	W264
AS165	W258
AS165	W259
AS166	W255
AS167	W252
AS167	W251
AS168	W246
AS168	W247
AS169	W241
AS169	W242
AS170	W237
AS171	W231
AS172	W1175
AS173	W1170
AS174	W101
AS175	W991
AS176	W126
AS177	W150
AS177	W940
AS177	W172
AS177	W939
AS178	W1188
AS178	W149
AS179	W164
AS180	W1187
AS181	W923
AS182	W1021
AS183	W1023
AS184	W151
AS184	W941
AS184	W943
AS185	W587
AS186	W622
AS187	W156
AS188	W1049
AS189	W299
AS190	W175
AS191	W590
AS192	W1048
AS193	W1022
AS194	W57
AS194	W58
AS195	W53
AS196	W1072
AS197	W565
AS197	W560
AS198	W915
AS199	W1032
AS199	W1030
AS200	W1038
AS201	W109
AS201	W107
AS202	W155
AS202	W187
AS202	W1002
AS202	W1007
AS203	W135
AS204	W132
AS204	W134
AS205	W40
AS205	W38
AS206	W191
AS207	W657
AS208	W1017
AS209	W1015
AS210	W1040
AS211	W20
AS212	W961
AS212	W154
AS212	W186
AS212	W702
AS212	W1067
AS212	W954
AS213	W546
AS214	W174
AS215	W704
AS216	W416
AS216	W417
AS217	W188
AS218	W711
AS219	W197
AS220	W979
AS220	W153
AS220	W978
AS220	W980
AS221	W18
AS222	W987
AS223	W800
AS223	W799
AS224	W824
AS224	W823
AS225	W661
AS225	W772
AS226	W849
AS227	W1096
AS228	W1098
AS229	W820
AS229	W821
AS230	W802
AS231	W833
AS232	W715
AS233	W398
AS233	W399
AS234	W770
AS235	W527
AS235	W532
AS235	W533
AS236	W842
AS237	W805
AS238	W797
AS239	W826
AS239	W835
AS240	W975
AS240	W466
AS240	W767
AS240	W895
AS241	W902
AS242	W1124
AS243	W591
AS244	W768
AS245	W518
AS245	W574
AS246	W531
AS246	W571
AS246	W572
AS247	W766
AS247	W639
AS248	W538
AS249	W1093
AS250	W582
AS251	W1144
AS251	W494
AS252	W765
AS252	W1155
AS253	W858
AS253	W857
AS254	W513
AS255	W779
AS256	W785
AS256	W786
AS257	W788
AS258	W1063
AS258	W1123
AS258	W1118
AS258	W1122
AS258	W1009
AS258	W1121
AS259	W41
AS260	W204
AS261	W2
AS262	W682
AS263	W411
AS264	W846
AS265	W845
AS266	W753
AS267	W617
AS268	W784
AS269	W850
AS270	W844
AS271	W762
AS272	W1120
AS273	W848
AS274	W664
AS275	W432
AS276	W412
AS277	W837
AS278	W819
AS279	W841
AS280	W843
AS281	W619
AS282	W1099
AS283	W839
AS284	W834
AS285	W570
AS286	W804
AS287	W803
AS288	W528
AS289	W798
AS290	W836
AS291	W1092
AS292	W832
AS293	W825
AS294	W822
AS295	W721
AS296	W830
AS297	W829
AS298	W828
AS299	W827
AS300	W831
AS301	W801
